batch_size,epochs,hidden_units,train_loss,val_loss,train_mae,val_mae
128,70,256,304.703,440.181,9.145,11.057
128,80,256,290.433,448.000,8.840,11.048
128,90,256,278.796,450.703,8.593,11.022
128,100,256,270.088,457.312,8.414,11.094
128,110,256,261.362,455.634,8.222,11.027
128,120,256,249.407,451.963,7.994,10.923
128,130,256,244.737,454.304,7.904,10.924
128,140,256,238.543,462.183,7.774,11.041
128,150,256,227.522,460.991,7.543,11.013
128,10,512,584.114,576.020,14.254,13.818
128,20,512,395.491,434.908,10.987,11.366
128,30,512,355.124,422.120,10.114,10.962
128,40,512,331.554,428.158,9.617,10.905
128,50,512,316.823,429.014,9.315,10.737
128,60,512,303.802,426.230,9.051,10.707
128,70,512,285.535,427.590,8.691,10.728
128,80,512,273.628,433.534,8.458,10.699
128,90,512,265.701,431.903,8.317,10.757
128,100,512,248.038,441.756,7.952,10.840
128,110,512,242.009,444.331,7.838,10.911
128,120,512,235.671,440.385,7.711,10.810
128,130,512,225.363,441.052,7.499,10.788
128,140,512,215.337,446.897,7.305,10.856
128,150,512,204.225,452.826,7.067,10.862
256,10,32,5175.694,5137.347,42.118,42.063
256,20,32,4564.363,4534.206,39.689,39.727
256,30,32,4061.095,4035.447,37.498,37.563
256,40,32,3631.864,3610.111,35.515,35.651
256,50,32,3260.998,3242.042,33.717,33.868
256,60,32,2933.814,2917.564,32.043,32.174
256,70,32,2642.144,2628.798,30.464,30.527
256,80,32,2381.378,2370.378,28.969,29.011
256,90,32,2146.512,2137.767,27.530,27.559
256,100,32,1932.863,1925.896,26.128,26.192
256,110,32,1738.065,1732.785,24.760,24.874
256,120,32,1562.952,1560.757,23.444,23.595
256,130,32,1409.989,1410.385,22.277,22.444
256,140,32,1275.349,1281.745,21.222,21.385
256,150,32,1154.939,1161.969,20.214,20.385
256,10,64,4581.296,4520.610,39.814,39.821
256,20,64,3635.968,3594.223,35.574,35.663
256,30,64,2946.370,2915.971,32.106,32.271
256,40,64,2409.804,2387.060,29.085,29.173
256,50,64,1975.893,1957.143,26.268,26.361
